row_number,question
287,Did you read that the keg_definition of 'weekly_duration_min' is 'Required fields for creating Epoch weekly cases.'.
288,Did you read that the keg_definition of 'weekly_lower_min' is 'Required fields for creating Epoch weekly cases.'.
289,Did you read that the keg_definition of 'weeks' is 'Definition needed.'.
290,Did you read that the keg_definition of 'weeks_lower_week' is 'Required fields for creating Epoch weekly cases.'.
291,Did you read that the keg_definition of 'weeks_upper_week' is 'Required fields for creating Epoch weekly cases.'.
292,Did you read that the keg_definition of 'year' is 'A fundamental structure of time for Keg2. Always 365 days. The leap day is a special other thing in Keg2.'.
293,"Did you read that the keg_definition of 'year_length' is 'A C400Constant for building Epochs: 525,600 minutes in year without leap-day'."
294,Did you read that the keg_definition of 'year_monthday_duration_days' is 'Required fields for creating Epoch year_monthday cases.'.
295,Did you read that the keg_definition of 'year_monthday_lower' is 'Required fields for creating Epoch year_monthday cases.'.
296,"Did you read that the keg_definition of 'yr1_jan1_offset' is 'Epoch config: Number of minutes the calendar is different from March 1, year 1 where Gregorian calendar is projected to year 1. Example 440640 is almost 10 months, Moment arg'."
297,"Did you read that the keg_definition of 'yr4_core' is 'A fundamental structure of time for Keg2. Includes 4 years of 365 days, plan_label for Epoch'."
298,"Did you read that the keg_definition of 'yr4_core_length' is 'A C400Constant for building Epochs: 2,102,400 minutes in 4 year cycle without leap-day'."
299,Did you read that the keg_definition of 'yr4_leap' is 'A fundamental structure of time for Keg2. Includes 4 years of 365 days (yr4_core) and a leap day. The leap day is the last day.'.
300,"Did you read that the keg_definition of 'yr4_leap_length' is 'A C400Constant for building Epochs: 2,103,840 minutes in 4 year cycle'."
301,Did you read that the keg_definition of 'ManaNum' is 'float first used in ch12. ManaNum inherits from float class'.
302,Did you read that the keg_definition of 'care_amount' is 'Definition needed.'.
303,Did you read that the keg_definition of 'cares' is 'Definition needed.'.
304,Did you read that the keg_definition of 'cycle_carees_curr' is 'Definition needed.'.
305,Did you read that the keg_definition of 'cycle_carees_prev' is 'Definition needed.'.
306,Did you read that the keg_definition of 'cycle_count' is 'Definition needed.'.
307,Did you read that the keg_definition of 'cycle_max' is 'Definition needed.'.
308,Did you read that the keg_definition of 'doctor_count' is 'Definition needed.'.
309,Did you read that the keg_definition of 'doctor_rank_num' is 'Definition needed.'.
310,Did you read that the keg_definition of 'doctor_rank_percent' is 'Definition needed.'.
311,Did you read that the keg_definition of 'keep_patientledgers' is 'Definition needed.'.
312,Did you read that the keg_definition of 'keep_point_magnitude' is 'Definition needed.'.
313,Did you read that the keg_definition of 'need_bill_amount' is 'Definition needed.'.
314,Did you read that the keg_definition of 'need_dues' is 'Definition needed.'.
315,Did you read that the keg_definition of 'need_got_curr' is 'Definition needed.'.
316,Did you read that the keg_definition of 'need_got_prev' is 'Definition needed.'.
317,Did you read that the keg_definition of 'need_paid_amount' is 'Definition needed.'.
318,Did you read that the keg_definition of 'need_paid_bool' is 'Definition needed.'.
319,Did you read that the keg_definition of 'need_paid_rank_num' is 'Definition needed.'.
320,Did you read that the keg_definition of 'need_paid_rank_percent' is 'Definition needed.'.
321,Did you read that the keg_definition of 'need_results' is 'Definition needed.'.
322,Did you read that the keg_definition of 'patient_count' is 'Definition needed.'.
323,Did you read that the keg_definition of 'patient_rank_num' is 'Definition needed.'.
324,Did you read that the keg_definition of 'patient_rank_percent' is 'Definition needed.'.
325,Did you read that the keg_definition of 'rewards_count' is 'Definition needed.'.
326,Did you read that the keg_definition of 'rewards_magnitude' is 'Definition needed.'.
327,Did you read that the keg_definition of 'riverbooks' is 'Definition needed.'.
328,Did you read that the keg_definition of 'rivercares' is 'Definition needed.'.
329,Did you read that the keg_definition of 'rivergrades' is 'Definition needed.'.
330,Did you read that the keg_definition of 'Epoch' is 'Definition needed.'.
331,Did you read that the keg_definition of 'TimeNum' is 'int first used in ch11. An Integar that can represent a instant on the TimeNumLine'.
332,"Did you read that the keg_definition of 'amount' is ', paybook arg'."
333,"Did you read that the keg_definition of 'boss_facts' is ', used with Budget Cells'."
334,"Did you read that the keg_definition of 'bud_contact_nets' is 'ledger of bud outcome. The PersonUnit that embodies the Budget distrubutes the funds per the PersonUnit contacts. dict[ContactName, FundNum]. FundNum can be negative.'."
335,"Did you read that the keg_definition of 'bud_person_name' is ', used with Budget Cells'."
336,"Did you read that the keg_definition of 'bud_time' is 'When a budget adds to the supply, bud arg, Nabuable arg'."
337,"Did you read that the keg_definition of 'celldepth' is ', used with Budget Cells, bud arg'."
338,"Did you read that the keg_definition of 'found_facts' is ', used with Budget Cells'."
339,Did you read that the keg_definition of 'magnitude' is 'Definition needed.'.
340,"Did you read that the keg_definition of 'offi_time' is ', offi_time arg, Nabuable arg'."
341,Did you read that the keg_definition of 'offi_time_max' is 'Definition needed.'.
342,"Did you read that the keg_definition of 'personadjust' is ', used with Budget Cells'."
343,"Did you read that the keg_definition of 'personspark_facts' is ', used with Budget Cells'."
344,"Did you read that the keg_definition of 'quota' is 'The importance of a BudUnit. The currency given to the BudUnit to be distributed to Contacts. The magnitude number will always be less then quote because its the sum of how much of the quota is distributed, bud arg, used with Budget Cells'."
345,Did you read that the keg_definition of 'time' is 'Definition needed.'.
346,"Did you read that the keg_definition of 'tran_time' is ', paybook arg, Nabuable arg'."
347,Did you read that the keg_definition of 'FaceName' is 'str first used in ch09. The Face is the source of all outside data.'.
348,Did you read that the keg_definition of 'Lasso' is 'Definition needed.'.
349,Did you read that the keg_definition of 'MomentRope' is 'str first used in ch09. The RopeTerm for a Moment. Must contain knots.'.
350,Did you read that the keg_definition of 'gut' is 'Definition needed.'.
351,Did you read that the keg_definition of 'job' is 'Definition needed.'.
352,Did you read that the keg_definition of 'lasso' is 'Definition needed.'.
353,Did you read that the keg_definition of 'moment' is 'Definition needed.'.
354,Did you read that the keg_definition of 'moment_mstr_dir' is 'starting point for most lego file structue. Moment functions usually refernce this directory as root.'.
355,"Did you read that the keg_definition of 'moment_rope' is ', Moment arg, offi_time arg, paybook arg, mmtweek arg, mmtmont arg, mmthour arg, bud arg, Person seed, Plan seed, Reason seed, Case seed, Fact seed, Award seed, Workforce seed, Healer seed, Contact seed, Member seed, nabu arg.'."
356,Did you read that the keg_definition of 'spark_face' is 'Every spark has a spark_face that identifies which Face it belongs to. The Face is the source of all outside data. In theory a spark_face can be any data type. In practice it is currently a string data type.'.
357,"Did you read that the keg_definition of 'spark_num' is 'Every spark has a spark_num that identifies its order of ingestion. Sparks are orderd but not necessarily sequential. Spark_num is an int. , used with Budget Cells'."
358,Did you read that the keg_definition of 'CRUD_command' is 'str first used in ch08 that represents database CRUD commands'.
359,Did you read that the keg_definition of 'atom' is 'Smallest possible unit of a PersonUnit'.
360,Did you read that the keg_definition of 'atom_hx' is 'Definition needed.'.
361,Did you read that the keg_definition of 'awardee_title_ERASE' is 'Definition needed.'.
362,Did you read that the keg_definition of 'awardee_title_ERASE_inx' is 'The 'awardee_title_ERASE' value after Translate.'.
363,Did you read that the keg_definition of 'awardee_title_ERASE_otx' is 'The 'awardee_title_ERASE' value after Translate.'.
364,Did you read that the keg_definition of 'column_ordinal' is 'Describes which column in a table the attribute should have. The number '2' would be 3rd column because of starting at 0 index.'.
365,Did you read that the keg_definition of 'contact_name_ERASE' is 'Definition needed.'.
366,Did you read that the keg_definition of 'contact_name_ERASE_inx' is 'The 'contact_name_ERASE' value after Translate.'.
367,Did you read that the keg_definition of 'contact_name_ERASE_otx' is 'The 'contact_name_ERASE' value after Translate.'.
368,"Did you read that the keg_definition of 'crud' is 'Create, Read, Update, Delete. The main things that can be done in a database.'."
369,Did you read that the keg_definition of 'fact_context_ERASE' is 'Definition needed.'.
370,Did you read that the keg_definition of 'fact_context_ERASE_inx' is 'The 'fact_context_ERASE' value after Translate.'.
371,Did you read that the keg_definition of 'fact_context_ERASE_otx' is 'The 'fact_context_ERASE' value after Translate.'.
372,Did you read that the keg_definition of 'group_title_ERASE' is 'Definition needed.'.
373,Did you read that the keg_definition of 'group_title_ERASE_inx' is 'The 'group_title_ERASE' value after Translate.'.
374,Did you read that the keg_definition of 'group_title_ERASE_otx' is 'The 'group_title_ERASE' value after Translate.'.
375,Did you read that the keg_definition of 'healer_name_ERASE' is 'Definition needed.'.
376,Did you read that the keg_definition of 'healer_name_ERASE_inx' is 'The 'healer_name_ERASE' value after Translate.'.
377,Did you read that the keg_definition of 'healer_name_ERASE_otx' is 'The 'healer_name_ERASE' value after Translate.'.
378,Did you read that the keg_definition of 'labor_title_ERASE' is 'Definition needed.'.
379,Did you read that the keg_definition of 'labor_title_ERASE_inx' is 'The 'labor_title_ERASE' value after Translate.'.
380,Did you read that the keg_definition of 'labor_title_ERASE_otx' is 'The 'labor_title_ERASE' value after Translate.'.
381,Did you read that the keg_definition of 'nesting_order' is 'Definition needed.'.
382,Did you read that the keg_definition of 'normal_specs' is 'Definition needed.'.
383,Did you read that the keg_definition of 'normal_table_name' is 'Definition needed.'.
384,Did you read that the keg_definition of 'person_name_ERASE' is 'Definition needed.'.
385,Did you read that the keg_definition of 'person_name_ERASE_inx' is 'The 'person_name_ERASE' value after Translate.'.
386,Did you read that the keg_definition of 'person_name_ERASE_otx' is 'The 'person_name_ERASE' value after Translate.'.
387,Did you read that the keg_definition of 'plan_rope_ERASE' is 'Definition needed.'.
388,Did you read that the keg_definition of 'plan_rope_ERASE_inx' is 'The 'plan_rope_ERASE' value after Translate.'.
389,Did you read that the keg_definition of 'plan_rope_ERASE_otx' is 'The 'plan_rope_ERASE' value after Translate.'.
390,Did you read that the keg_definition of 'reason_context_ERASE' is 'Definition needed.'.
391,Did you read that the keg_definition of 'reason_context_ERASE_inx' is 'The 'reason_context_ERASE' value after Translate.'.
392,Did you read that the keg_definition of 'reason_context_ERASE_otx' is 'The 'reason_context_ERASE' value after Translate.'.
393,Did you read that the keg_definition of 'reason_state_ERASE' is 'Definition needed.'.
394,Did you read that the keg_definition of 'reason_state_ERASE_inx' is 'The 'reason_state_ERASE' value after Translate.'.
395,Did you read that the keg_definition of 'reason_state_ERASE_otx' is 'The 'reason_state_ERASE' value after Translate.'.
396,Did you read that the keg_definition of 'PersonName' is 'str first used in ch07. The LabelTerm used to identify a PersonUnit. Must be a LabelTerm/NameTerm because when identifying if a PlanUnit is an active pledge the PersonName will be compared against ContactNames. If they match the pledge will be active.'.
397,Did you read that the keg_definition of 'PersonUnit' is 'Definition needed.'.
398,"Did you read that the keg_definition of 'ancestors' is ', used with Budget Cells'."
399,Did you read that the keg_definition of 'calc_by_thinkout' is 'Describes when data is defined by thinkout process. Not required seed data.'.
400,"Did you read that the keg_definition of 'contact_mandate_ledger' is ', used with Budget Cells'."
401,Did you read that the keg_definition of 'contact_pool' is 'Definition needed.'.
402,Did you read that the keg_definition of 'contacts' is 'Definition needed.'.
403,Did you read that the keg_definition of 'context_plan_close' is 'Definition needed.'.
404,Did you read that the keg_definition of 'context_plan_denom' is 'Definition needed.'.
405,Did you read that the keg_definition of 'context_plan_morph' is 'Definition needed.'.
406,"Did you read that the keg_definition of 'credor_respect' is ', Person seed.'."
407,"Did you read that the keg_definition of 'debtor_respect' is ', Person seed.'."
408,Did you read that the keg_definition of 'dimen' is 'Definition needed.'.
409,Did you read that the keg_definition of 'dimens' is 'Definition needed.'.
410,Did you read that the keg_definition of 'jkeys' is 'The term 'keys' was too generic. 'jkeys' is less generic.'.
411,Did you read that the keg_definition of 'jvalues' is 'Definition needed.'.
412,Did you read that the keg_definition of 'keep_rope' is 'Definition needed.'.
413,"Did you read that the keg_definition of 'keeps_buildable' is ', Person thinkout'."
414,"Did you read that the keg_definition of 'keeps_justified' is ', Person thinkout'."
415,Did you read that the keg_definition of 'last_lesson_id' is 'Definition needed.'.
416,"Did you read that the keg_definition of 'mandate' is ', used with Budget Cells'."
417,"Did you read that the keg_definition of 'max_tree_traverse' is ', Person seed.'."
418,Did you read that the keg_definition of 'obj_type' is 'Used idenify an attribute's object class. Usually in config files.'.
419,"Did you read that the keg_definition of 'offtrack_fund' is ', Person thinkout'."
420,Did you read that the keg_definition of 'offtrack_kids_star_set' is 'Definition needed.'.
421,"Did you read that the keg_definition of 'person_contact_membership' is 'A person dimen representing Membership data. Keys: person_name, contact_name, group_title. person seed.'."
422,"Did you read that the keg_definition of 'person_contactunit' is 'A person dimen representing ParterUnit data. Keys: person_name, contact_name. person seed.'."
423,"Did you read that the keg_definition of 'person_groupunit' is 'A person dimen representing GroupUnit data. Keys: person_name, group_title. person thinkout.'."
424,"Did you read that the keg_definition of 'person_plan_awardunit' is 'A person dimen representing AwardUnit data. Keys: person_name, plan_rope, awardee_title. person seed.'."
425,"Did you read that the keg_definition of 'person_plan_factunit' is 'A person dimen representing FactUnit data. Keys: person_name, plan_rope, fact_context. person seed.'."
426,"Did you read that the keg_definition of 'person_plan_healerunit' is 'A person dimen representing HealerUnit data. Keys: person_name, plan_rope, healer_name. person seed.'."
427,"Did you read that the keg_definition of 'person_plan_laborunit' is 'A person dimen representing HealerUnit data. Keys: person_name, plan_rope, labor_title. person seed.'."
428,"Did you read that the keg_definition of 'person_plan_reason_caseunit' is 'A person dimen representing CaseUnit data. Keys: person_name, plan_rope, reason_context, reason_state. person seed.'."
429,"Did you read that the keg_definition of 'person_plan_reasonunit' is 'A person dimen representing ReasonUnit data. Keys: person_name, plan_rope, reason_context. person seed.'."
430,"Did you read that the keg_definition of 'person_planunit' is 'A person dimen representing PlanUnit data. Keys: person_name, plan_rope. person seed.'."
431,Did you read that the keg_definition of 'personunit' is 'A person dimen representing PersonUnit data. Keys: person_name. person seed.'.
432,"Did you read that the keg_definition of 'planroot' is 'Every PersonUnit has one planunit called the planroot. It can have child planunits and those can have child planunits, etc.'."
433,Did you read that the keg_definition of 'prnawar' is 'abbv for person_plan_awardunit'.
434,Did you read that the keg_definition of 'prncase' is 'abbv for person_plan_reason_caseunit'.
435,Did you read that the keg_definition of 'prncont' is 'abbv for person_contactunit'.
436,Did you read that the keg_definition of 'prnfact' is 'abbv for person_plan_factunit'.
437,Did you read that the keg_definition of 'prngrou' is 'abbv for person_groupunit'.
438,Did you read that the keg_definition of 'prnheal' is 'abbv for person_plan_healerunit'.
439,Did you read that the keg_definition of 'prnlabo' is 'abbv for person_plan_laborunit'.
440,Did you read that the keg_definition of 'prnmemb' is 'abbv for person_contact_membership'.
441,Did you read that the keg_definition of 'prnplan' is 'abbv for person_planunit'.
442,Did you read that the keg_definition of 'prnreas' is 'abbv for person_plan_reasonunit'.
443,Did you read that the keg_definition of 'prnunit' is 'abbv for personunit'.
444,"Did you read that the keg_definition of 'reason_contexts' is ', used with Budget Cells'."
445,"Did you read that the keg_definition of 'sum_healerunit_plans_fund_total' is ', Person thinkout'."
446,"Did you read that the keg_definition of 'addin' is 'float that describes addition to parent range calculations, Plan seed'."
447,"Did you read that the keg_definition of 'all_contact_cred' is ', Plan thinkout'."
448,"Did you read that the keg_definition of 'all_contact_debt' is ', Plan thinkout'."
449,"Did you read that the keg_definition of 'awardheirs' is 'Every PlanUnit has AwardHeirs that represent who is awarded give_fund and take_fund. AwardHeirs have every AwardUnit group_title for every PlanUnit Ancestor back to root, Plan thinkout'."
450,"Did you read that the keg_definition of 'awardlines' is 'Every PlanUnit has AwardLines that represent who is awarded give_fund and take_fund. AwardLines have every AwardUnit group_title for every PlanUnit Descedant starting at the childless PlanUnit, Plan thinkout'."
451,"Did you read that the keg_definition of 'begin' is 'float that describes the begin of a numerical range if it exists, Plan seed'."
452,"Did you read that the keg_definition of 'close' is 'float that describes the close of a numerical range if it exists, Plan seed'."
453,"Did you read that the keg_definition of 'denom' is 'int that describes denominator to parent range calculations, Plan seed'."
454,"Did you read that the keg_definition of 'descendant_pledge_count' is ', Plan thinkout'."
455,"Did you read that the keg_definition of 'fund_cease' is 'FundNum number at which funding ceases inside master funding range, Plan thinkout'."
456,"Did you read that the keg_definition of 'fund_onset' is 'FundNum number at which funding onsets inside master funding range, Plan thinkout'."
457,"Did you read that the keg_definition of 'fund_pool' is ', Person seed.'."
458,"Did you read that the keg_definition of 'fund_ratio' is ', Plan thinkout'."
459,"Did you read that the keg_definition of 'gogo_calc' is ', Plan thinkout'."
460,"Did you read that the keg_definition of 'gogo_want' is ', Plan seed'."
461,"Did you read that the keg_definition of 'healer_name' is ', Healer seed.'."
462,Did you read that the keg_definition of 'healerunit' is 'Definition needed.'.
463,"Did you read that the keg_definition of 'healerunit_ratio' is ', Plan thinkout'."
464,Did you read that the keg_definition of 'is_expanded' is 'If A '.
465,Did you read that the keg_definition of 'kids' is 'Definition needed.'.
466,"Did you read that the keg_definition of 'morph' is 'bool that describes how to change parent range in calculations, Plan seed'."
467,"Did you read that the keg_definition of 'numor' is 'int that describes numerator to parent range calculations, Plan seed'."
468,Did you read that the keg_definition of 'plan' is 'Definition needed.'.
469,"Did you read that the keg_definition of 'plan_active' is ', Plan thinkout'."
470,Did you read that the keg_definition of 'plan_active_hx' is 'Definition needed.'.
471,Did you read that the keg_definition of 'plan_fund_total' is 'Definition needed.'.
472,Did you read that the keg_definition of 'plan_label' is 'Every planunit has a plan_label. Every other sibling planunit must have a different plan label.'.
473,"Did you read that the keg_definition of 'plan_rope' is ', Plan seed, Reason seed, Case seed, Fact seed, Award seed, Workforce seed, Healer seed.'."
474,"Did you read that the keg_definition of 'plan_task' is 'A plan_task planUnit can change a FactUnit and change Active Plan without plan_task, Plan thinkout'."
475,Did you read that the keg_definition of 'plan_uid' is 'A uniqueidentifier for a planunit. Currently at the person level. Perhaps at a global level in the future.'.
476,"Did you read that the keg_definition of 'pledge' is ', Plan seed'."
477,"Did you read that the keg_definition of 'problem_bool' is ', Plan seed'."
478,"Did you read that the keg_definition of 'range_evaluated' is ', Plan thinkout'."
479,"Did you read that the keg_definition of 'range_inheritors' is '# range_inheritors key: plan_rope for any Plan that inherits from a range_plan
    # range_inheritors value: plan_rope for the range_plan
    # During the thinkout process range_inheritors defines when range_inheritors factheirs need to be created'."
480,Did you read that the keg_definition of 'reasonheirs' is 'Definition needed.'.
481,"Did you read that the keg_definition of 'star' is ', Plan seed'."
482,"Did you read that the keg_definition of 'stop_calc' is ', Plan thinkout'."
483,"Did you read that the keg_definition of 'stop_want' is ', Plan seed'."
484,"Did you read that the keg_definition of 'tree_level' is ', Plan thinkout'."
485,"Did you read that the keg_definition of 'tree_traverse_count' is ', Person thinkout'."
486,"Did you read that the keg_definition of 'active_requisite' is 'Represents the expected boolean of the PlanUnit with address reason_context. If None, no check. If False expected Active bool of reason_context PlanUnit is false. If True expected contest_plan.active is True, Reason seed'."
487,"Did you read that the keg_definition of 'case_active' is ', Case thinkout'."
488,"Did you read that the keg_definition of 'case_task' is ', Case thinkout'."
489,Did you read that the keg_definition of 'cases' is 'Definition needed.'.
490,"Did you read that the keg_definition of 'fact_context' is 'All facts have a foundational context, Fact seed.'."
491,"Did you read that the keg_definition of 'fact_lower' is ', Fact seed, Nabuable arg.'."
492,"Did you read that the keg_definition of 'fact_state' is 'A fact can have a state different from its context, a different branch of the context where all other branches are not in fact, Fact seed.'."
493,"Did you read that the keg_definition of 'fact_upper' is ', Fact seed, Nabuable arg.'."
494,Did you read that the keg_definition of 'factheirs' is 'Definition needed.'.
495,Did you read that the keg_definition of 'factunits' is 'PlanUnit holds all it's factunits in an attribute called factunits.'.
496,"Did you read that the keg_definition of 'parent_heir_active' is ', Reason thinkout'."
497,"Did you read that the keg_definition of 'reason_active' is ', Reason thinkout'."
498,"Did you read that the keg_definition of 'reason_context' is ', Reason seed, Case seed'."
499,"Did you read that the keg_definition of 'reason_divisor' is ', Case seed.'."
500,"Did you read that the keg_definition of 'reason_lower' is ', Case seed, Nabuable arg.'."
501,"Did you read that the keg_definition of 'reason_state' is ', Case seed.'."
502,"Did you read that the keg_definition of 'reason_task' is ', Reason thinkout'."
503,"Did you read that the keg_definition of 'reason_upper' is ', Case seed, Nabuable arg.'."
504,Did you read that the keg_definition of 'reasonunits' is 'Definition needed.'.
505,Did you read that the keg_definition of 'FactNum' is 'float first used in ch04. A numeric value that may converted to other Semantic Types by an external process driven by context.'.
506,Did you read that the keg_definition of 'FirstLabel' is 'str first used in ch04. The first LabelTerm in a RopeTerm. FirstLabel cannot contain knot. Not called RootLabel to avoid confusion.'.
507,Did you read that the keg_definition of 'KnotTerm' is 'str first used in ch04. A string to used as a delimiter in RopeTerms.'.
508,Did you read that the keg_definition of 'LabelTerm' is 'str first used in ch04. A string representation of a tree node. Nodes cannot contain RopeTerm knot'.
509,Did you read that the keg_definition of 'ManaGrain' is 'float first used in ch04. Smallest Unit of Mana.'.
510,Did you read that the keg_definition of 'ReasonNum' is 'float first used in ch04. A numeric value that may converted to other Semantic Types by an external process driven by context.'.
511,Did you read that the keg_definition of 'fact' is 'Facts are very important concept. I tried never to use those 4 letters anywhere that didn't refer exactly to that concept.'.
512,"Did you read that the keg_definition of 'knot' is ', Moment arg, Person seed, Plan seed, Reason seed, Case seed, Fact seed, Award seed, Workforce seed, Healer seed'."
513,"Did you read that the keg_definition of 'mana_grain' is ', Moment arg, used with Budget Cells, Person seed.'."
514,Did you read that the keg_definition of 'parent_rope' is 'A parent_rope of rope is created by removing the last label. For PlanUnits the parent_rope is the key for their parent PlanUnit.'.
515,Did you read that the keg_definition of 'LaborHeir' is 'Definition needed.'.
516,Did you read that the keg_definition of 'laborheir' is 'Definition needed.'.
517,Did you read that the keg_definition of 'person' is 'Definition needed.'.
518,"Did you read that the keg_definition of 'person_name' is ', paybook arg, bud arg, Person seed, Plan seed, Reason seed, Case seed, Fact seed, Award seed, Workforce seed, Healer seed, Contact seed, Member seed.'."
519,"Did you read that the keg_definition of 'person_name_is_workforce' is ', Workforce thinkout'."
520,Did you read that the keg_definition of 'BreakTerm' is 'str first used in ch02. All str separator classes are BreakTerms. Exists because of the necessity to break experience reality into things so they can be understood.'.
521,"Did you read that the keg_definition of 'ContactName' is 'str first used in ch02. Every ContactName object is NameTerm, must follow NameTerm format.'."
522,Did you read that the keg_definition of 'FundGrain' is 'float first used in ch02. Smallest Unit of fund_num'.
523,Did you read that the keg_definition of 'FundNum' is 'float first used in ch02. FundNum inherits from float class'.
524,"Did you read that the keg_definition of 'GroupMark' is 'str first used in ch02. GroupMark(s) exist in TitleTerms to indicate its a group, no GroupMark indicates it is a ContactName.'."
525,Did you read that the keg_definition of 'GroupTitle' is 'str first used in ch02. If contains SepartorTerms(s) it represents a group otherwise its a ContactName.'.
526,Did you read that the keg_definition of 'HealerName' is 'str first used in ch02. A NameTerm used to identify a Problem's Healer'.
527,Did you read that the keg_definition of 'NameTerm' is 'str first used in ch02. All Name string classes should inherit from this class'.
528,Did you read that the keg_definition of 'RespectGrain' is 'float first used in ch02. Smallest Unit of score (RespectNum) ala 'the slightest bit of respect!''.
529,Did you read that the keg_definition of 'RespectNum' is 'float first used in ch02. RespectNum inherits from float class'.
530,Did you read that the keg_definition of 'TitleTerm' is 'str first used in ch02. If a TitleTerm contains SepartorTerms(s) it represents a group otherwise its a single member group of an ContactName.'.
531,"Did you read that the keg_definition of 'awardee_title' is ', Award seed.'."
532,"Did you read that the keg_definition of 'awardunits' is 'Every PlanUnit has AwardUnits that represent who is awarded give_fund and take_fund, Plan seed'."
533,"Did you read that the keg_definition of 'contact_cred_lumen' is ', Contact seed.'."
534,"Did you read that the keg_definition of 'contact_debt_lumen' is ', Contact seed.'."
535,"Did you read that the keg_definition of 'contact_name' is ', paybook arg, Contact seed, Member seed'."
536,"Did you read that the keg_definition of 'credor_pool' is ', Contact thinkout, Member thinkout data'."
537,"Did you read that the keg_definition of 'debtor_pool' is ', Contact thinkout, Member thinkout data'."
538,"Did you read that the keg_definition of 'fund_agenda_give' is ', Contact thinkout, Member thinkout data'."
539,"Did you read that the keg_definition of 'fund_agenda_ratio_give' is ', Contact thinkout, Member thinkout data'."
540,"Did you read that the keg_definition of 'fund_agenda_ratio_take' is ', Contact thinkout, Member thinkout data'."
541,"Did you read that the keg_definition of 'fund_agenda_take' is ', Contact thinkout, Member thinkout data'."
542,"Did you read that the keg_definition of 'fund_give' is ', Contact thinkout, Award thinkout, Member thinkout data'."
543,"Did you read that the keg_definition of 'fund_grain' is ', Moment arg, Person seed, Plan thinkout.'."
544,"Did you read that the keg_definition of 'fund_take' is ', Contact thinkout, Award thinkout, Member thinkout data'."
545,"Did you read that the keg_definition of 'give_force' is ', Award seed.'."
546,"Did you read that the keg_definition of 'group_cred_lumen' is ', Member seed.'."
547,"Did you read that the keg_definition of 'group_debt_lumen' is ', Member seed.'."
548,"Did you read that the keg_definition of 'group_title' is ', Member seed.'."
549,"Did you read that the keg_definition of 'groupmark' is ', Contact thinkout, Member thinkout data.'."
550,Did you read that the keg_definition of 'groupunits' is 'Definition needed.'.
551,"Did you read that the keg_definition of 'inallocable_contact_debt_lumen' is ', Contact thinkout'."
552,"Did you read that the keg_definition of 'irrational_contact_debt_lumen' is ', Contact thinkout'."
553,"Did you read that the keg_definition of 'labor_title' is ', Workforce seed.'."
554,Did you read that the keg_definition of 'labors' is 'Definition needed.'.
555,Did you read that the keg_definition of 'memberships' is 'Definition needed.'.
556,Did you read that the keg_definition of 'parent_solo' is 'The parent PlanUnit's LaborUnit's solo value for that labor_title'.
557,"Did you read that the keg_definition of 'rational' is 'If a PersonUnit's agenda is deterministic (always the same after thinkout) then value is True, Person thinkout'."
558,"Did you read that the keg_definition of 'respect_grain' is ', Moment arg, Person seed.'."
559,"Did you read that the keg_definition of 'solo' is 'I can't figure out what this is for. Where in the codebase is it necessary for a LaborUnit to know if it the only LaborUnit in a WorkforceUnit, Workforce seed.'."
560,"Did you read that the keg_definition of 'take_force' is ', Workforce seed, Award seed'."
561,Did you read that the keg_definition of 'thinkout' is 'The process by which a PersonUnit creates all it's output metrics from file-stored data. Meant to invoke contemplation and computation. The PersonUnit contemplates what is important to them (their plans) and decides what they want to do. They compute their rules and create their agenda. If the PersonUnit plans are trusted with a currency quota they can be used as an Budget. Each Contact is assigned a FundNum. It may be negative.'.
562,Did you read that the keg_definition of 'workforceheir' is 'Definition needed.'.
563,Did you read that the keg_definition of 'workforceunit' is 'Definition needed.'.
564,Did you read that the keg_definition of 'GrainNum' is 'float first used in ch01. GrainNum represents the smallest fraction allowed'.
565,Did you read that the keg_definition of 'PoolNum' is 'float first used in ch01. PoolNum represents any possible subset of the sum of numbers in the pool.'.
566,Did you read that the keg_definition of 'WeightNum' is 'float first used in ch01. WeightNum represents the unnormalized value of a ledger key. The sum of all WeightNum values in a ledger is not defined.'.
567,Did you read that the keg_definition of 'DELETE' is 'CRUD_COMMAND to delete records for a table'.
568,Did you read that the keg_definition of 'INSERT' is 'CRUD_COMMAND to delete records for a table'.
569,Did you read that the keg_definition of 'Keyword' is 'Reserved word that is supposed to have one meaning.'.
570,Did you read that the keg_definition of 'UPDATE' is 'CRUD_COMMAND to update records for a table. 'Associated dimens: personunit' in 'CRUD_COMMAND to update records for a table''.
571,Did you read that the keg_definition of 'exam_tier' is 'Every Keyword has an exam_tier. The highter the exam_tier the more relatively important the keyword.'.
572,Did you read that the keg_definition of 'filename' is 'Should always include extension ala filebasename + '.' + extension'.
573,Did you read that the keg_definition of 'keyword' is 'Reserved word that is supposed to have one meaning.'.
574,"Did you read that the keg_definition of 'semantic_type' is 'A datatype that is fundamentally int, str, or float'."
575,"Did you read that the keg_definition of 'shop' is 'The factory method in programming is very important. However because I want 'fact' only to refer to the Keg concept I don't use the word 'factory', instead I use 'shop'.'."
576,Did you read that the keg_definition of 'sort_ordinal' is 'Int that represents where the keyword is indexed in the general sorting order.'.
577,Did you read that the keg_definition of 'sqlite_datatype' is 'Definition needed.'.
